Gender ,Age (x1),Gender in binary (x2),Revised Purchase Amount (y),,,,,,,,,,,,,,,,,,,,,,,,,
Male,56,0,1286.86,,t-Test: Two-Sample Assuming Unequal Variances,,,,t-Test: Two-Sample Assuming Unequal Variances,,,,,,,Age,Gender in binary,Revised Purchase Amount,,,Age,,Gender in binary,,Revised Purchase Amount,,,
Male,69,0,756.47,,,,,,,,,,,,Age,1,,,,,,,,,,,,65.18887412
Other,46,2,608.39,,,Revised Purchase Amount,Gender in binary,,,Revised Purchase Amount,Age,,,,Gender in binary,0.027378761,1,,,,Mean,43.35,Mean,0.61,Mean,756.4741,,
Male,32,0,1284.15,,Mean,756.4741,0.61,,Mean,756.4741,43.35,,,,Revised Purchase Amount,0.056399386,0.002565968,1,,,Standard Error,1.490466336,Standard Error,0.070917508,Standard Error,39.26115475,,
Male,60,0,509.54,,Variance,154143.8272,0.502929293,,Variance,154143.8272,222.1489899,,,,,,,,,,Median,42,Median,0,Median,770.02,,
Female,25,1,295.76,,Observations,100,100,,Observations,100,100,,,,,,,,,,Mode,61,Mode,0,Mode,756.47,,
Male,38,0,857.36,,Hypothesized Mean Difference,0,,,Hypothesized Mean Difference,0,,,,,,,,,,,Standard Deviation,14.90466336,Standard Deviation,0.709175079,Standard Deviation,392.6115475,,
Female,56,1,1407.42,,df,99,,,df,99,,,,,,,,,,,Sample Variance,222.1489899,Sample Variance,0.502929293,Sample Variance,154143.8272,,
Other,36,2,1059.24,,t Stat,19.25218124,,,t Stat,18.15053045,,,,,,,alpha,1-0.90,0.1,,Kurtosis,-1.174747891,Kurtosis,-0.694154888,Kurtosis,-0.94845963,,
Female,40,1,876.59,,P(T<=t) one-tail,1.52593E-35,,,P(T<=t) one-tail,1.45569E-33,,,,,,,,,,,Skewness,0.065192421,Skewness,0.727848481,Skewness,-0.105055176,,
Male,28,0,190.91,,t Critical one-tail,1.660391156,,,t Critical one-tail,1.660391156,,,,,,,,,,,Range,50,Range,2,Range,1414.71,,
Male,28,0,941.76,,P(T<=t) two-tail,3.05186E-35,,,P(T<=t) two-tail,2.91137E-33,,,,,,,,,,,Minimum,19,Minimum,0,Minimum,70.87,,
Male,41,0,1485.58,,t Critical two-tail,1.984216952,,,t Critical two-tail,1.984216952,,,,,,,,,,,Maximum,69,Maximum,2,Maximum,1485.58,,
Male,53,0,253.12,,,,,,,,,,,,,,,,,,Sum,4335,Sum,61,Sum,75647.41,,
Female,57,1,801.58,,2.67112E-34,,,,,,,,,,,,,,,,Count,100,Count,100,Count,100,,
Male,41,0,1322.19,,,,,,,,,,,,,,,,,,Confidence Level(95.0%),2.95740857,Confidence Level(95.0%),0.140715721,Confidence Level(95.0%),77.9026488,,
Male,20,0,1124.11,,SUMMARY OUTPUT,,,,,,,,,,,,,,,,,,,,,,,
Other,39,2,1060.67,,,,,,,,,,,,,,,,,,,,,,,,,
Male,19,0,1068.6,,Regression Statistics,,,,,,,,,,,,,,,,,,,,,,,
Male,41,0,571.26,,Multiple R,0.056408649,,,,,,,,,,,,,,,,,,,,,,
Female,61,1,475.71,,R Square,0.003181936,,,,,,,,,,,,,,,,,,,,,,
Male,47,0,1223.57,,Adjusted R Square,-0.017371014,,,,,,,,,,,,,,,,,,,,,,
Female,55,1,1224.66,,Standard Error,396.0068962,,,,,,,,,,,,,,,,,,,,,,
Male,19,0,756.47,,Observations,100,,,,,,,,,,,,,,,,,,,,,,
Female,38,1,1374.2,,,,,,,,,,,,,,,,,,,,,,,,,
Male,50,0,791.45,,ANOVA,,,,,,,,,,,,,,,,,,,,,,,
